date,prognostizierte_erzeugung_onshore,prognostizierte_erzeugung_offshore,prognostizierte_erzeugung_photovoltaik,prognostizierter_verbrauch_gesamt,prognostizierte_erzeugung_gesamt,prognostizierte_erzeugung_wind_und_photovoltaik,prognostizierte_erzeugung_sonstige,prognostizierter_verbrauch_residuallast
2026-08-30 09:00:00+00:00,23586.436000124,3504.6339171186137,26618.898459587283,51392.493575673405,66179.26222103431,53709.96837682989,12469.293844204418,-2317.474801156488
2026-08-30 10:00:00+00:00,23449.987183475918,3204.8268104985386,28727.699490143994,50440.1176151379,65499.03038883174,55382.51348411845,10116.516904713295,-4942.395868980551
2026-08-30 11:00:00+00:00,26084.497353440514,3529.7874671703385,28754.346244311255,49144.461787138884,64917.17626730318,58368.63106492211,6548.545202381065,-9224.169277783229
2026-08-30 12:00:00+00:00,25227.583184266558,3851.572569596924,27263.13261561853,47991.06961146566,63443.16267078923,56342.28836948201,7100.874301307216,-8351.218758016352
2026-08-30 13:00:00+00:00,24514.67265360913,3634.9414449424726,23966.375912147607,47748.04456439637,61673.650429485584,52115.99001069921,9557.66041878637,-4367.945446302845
2026-08-30 14:00:00+00:00,22072.353908772973,3660.8490068135243,20376.149617579485,48050.44279212194,57887.1719910391,46109.352533165984,11777.819457873113,1941.0902589559555
2026-08-30 15:00:00+00:00,21357.960540914904,4191.443386500811,15623.487434721379,49258.20127054718,55025.53110610053,41172.891362137096,13852.639743963431,8085.309908410083
2026-08-30 16:00:00+00:00,19745.298836217415,4333.085905527618,10161.236235548326,50366.81342801499,52925.53552722295,34239.62097729336,18685.914549929592,16127.192450721632
2026-08-30 17:00:00+00:00,17826.000807816632,3881.401169517476,5536.371623095416,50359.83834850855,49064.90537887153,27243.773600429522,21821.13177844201,23116.06474807903
2026-08-30 18:00:00+00:00,16391.13044278507,3712.012980756806,-1261.531673722087,51595.34605551555,49261.604378852346,18841.61174981979,30419.992629032557,32753.734305695758
2026-08-30 19:00:00+00:00,14181.212348519091,3073.450356018946,-2856.3653786243344,49613.855158852195,45291.34469808291,14398.297325913703,30893.047372169207,35215.55783293849
2026-08-30 20:00:00+00:00,12536.860254282165,2502.8024308218783,-1965.1631123642683,47197.709020249844,42842.68268292951,13074.499572739773,29768.183110189737,34123.209447510075
2026-08-30 21:00:00+00:00,12330.743831197702,1907.019487616527,236.42797641996262,43707.819784041094,36089.60678710317,14474.19129523419,21615.415491868982,29233.628488806906
2026-08-30 22:00:00+00:00,12587.06338190715,1724.7199804739807,811.4472961368155,41600.30362210912,34604.76734020361,15123.230658517947,19481.536681685662,26477.07296359117
2026-08-30 23:00:00+00:00,13420.354900747598,1596.9897971855664,967.117878383281,41059.72163485189,34990.27058305666,15984.462576316444,19005.80800674022,25075.25905853545
